0	2.1064e+00	1.4204e-01	1.5356e+00	4.2870e-01	0.9990
1	2.0027e+00	1.2155e-01	1.4716e+00	4.0949e-01	0.9980
2	1.9037e+00	1.0359e-01	1.4076e+00	3.9254e-01	0.9970
3	1.8095e+00	8.7488e-02	1.3446e+00	3.7742e-01	0.9960
4	1.7199e+00	7.3167e-02	1.2827e+00	3.6403e-01	0.9951
5	1.6348e+00	6.0526e-02	1.2220e+00	3.5228e-01	0.9941
6	1.5542e+00	4.9463e-02	1.1627e+00	3.4208e-01	0.9931
7	1.4780e+00	3.9885e-02	1.1048e+00	3.3333e-01	0.9922
8	1.4059e+00	3.1693e-02	1.0483e+00	3.2592e-01	0.9913
9	1.3379e+00	2.4784e-02	9.9334e-01	3.1973e-01	0.9904
10	1.2736e+00	1.9045e-02	9.3989e-01	3.1466e-01	0.9895
11	1.2129e+00	1.4361e-02	8.8798e-01	3.1057e-01	0.9887
12	1.1556e+00	1.0612e-02	8.3768e-01	3.0734e-01	0.9879
13	1.1015e+00	7.6826e-03	7.8900e-01	3.0486e-01	0.9871
14	1.0505e+00	5.4619e-03	7.4200e-01	3.0301e-01	0.9864
15	1.0022e+00	3.8447e-03	6.9670e-01	3.0168e-01	0.9857
16	9.5663e-01	2.7333e-03	6.5313e-01	3.0077e-01	0.9851
17	9.1354e-01	2.0387e-03	6.1131e-01	3.0019e-01	0.9845
18	8.7280e-01	1.6801e-03	5.7126e-01	2.9986e-01	0.9840
19	8.3427e-01	1.5851e-03	5.3297e-01	2.9971e-01	0.9836
20	7.9781e-01	1.6895e-03	4.9645e-01	2.9967e-01	0.9833
21	7.6330e-01	1.9371e-03	4.6169e-01	2.9968e-01	0.9832
22	7.3063e-01	2.2797e-03	4.2866e-01	2.9969e-01	0.9831
23	6.9969e-01	2.6769e-03	3.9736e-01	2.9966e-01	0.9832
24	6.7039e-01	3.0960e-03	3.6774e-01	2.9956e-01	0.9833
25	6.4264e-01	3.5119e-03	3.3977e-01	2.9936e-01	0.9836
26	6.1637e-01	3.9067e-03	3.1342e-01	2.9904e-01	0.9840
27	5.9152e-01	4.2690e-03	2.8865e-01	2.9860e-01	0.9846
28	5.6804e-01	4.5935e-03	2.6541e-01	2.9803e-01	0.9852
29	5.4589e-01	4.8803e-03	2.4366e-01	2.9734e-01	0.9859
30	5.2502e-01	5.1334e-03	2.2334e-01	2.9654e-01	0.9867
31	5.0541e-01	5.3604e-03	2.0441e-01	2.9565e-01	0.9876
32	4.8704e-01	5.5710e-03	1.8680e-01	2.9467e-01	0.9885
33	4.6987e-01	5.7761e-03	1.7046e-01	2.9364e-01	0.9896
34	4.5388e-01	5.9867e-03	1.5533e-01	2.9257e-01	0.9906
