107	7.4414e-02	6.3150e-02	1.1264e-02
108	7.3971e-02	6.2899e-02	1.1071e-02
109	7.3530e-02	6.2654e-02	1.0876e-02
110	7.3092e-02	6.2412e-02	1.0680e-02
111	7.2658e-02	6.2173e-02	1.0484e-02
112	7.2226e-02	6.1936e-02	1.0290e-02
113	7.1797e-02	6.1700e-02	1.0097e-02
114	7.1371e-02	6.1463e-02	9.9087e-03
115	7.0949e-02	6.1225e-02	9.7242e-03
116	7.0529e-02	6.0985e-02	9.5447e-03
117	7.0113e-02	6.0742e-02	9.3709e-03
118	6.9700e-02	6.0497e-02	9.2031e-03
119	6.9290e-02	6.0248e-02	9.0418e-03
120	6.8882e-02	5.9995e-02	8.8873e-03
121	6.8478e-02	5.9739e-02	8.7395e-03
122	6.8077e-02	5.9478e-02	8.5984e-03
123	6.7678e-02	5.9214e-02	8.4640e-03
124	6.7283e-02	5.8947e-02	8.3361e-03
125	6.6890e-02	5.8676e-02	8.2143e-03
126	6.6500e-02	5.8402e-02	8.0984e-03
127	6.6113e-02	5.8125e-02	7.9879e-03
128	6.5729e-02	5.7846e-02	7.8825e-03
129	6.5348e-02	5.7566e-02	7.7818e-03
130	6.4969e-02	5.7284e-02	7.6854e-03
131	6.4594e-02	5.7001e-02	7.5928e-03
132	6.4222e-02	5.6718e-02	7.5037e-03
133	6.3852e-02	5.6434e-02	7.4178e-03
134	6.3486e-02	5.6151e-02	7.3347e-03
135	6.3122e-02	5.5868e-02	7.2541e-03
136	6.2762e-02	5.5586e-02	7.1757e-03
137	6.2405e-02	5.5305e-02	7.0994e-03
138	6.2050e-02	5.5025e-02	7.0248e-03
139	6.1699e-02	5.4747e-02	6.9519e-03
140	6.1351e-02	5.4471e-02	6.8804e-03
141	6.1006e-02	5.4196e-02	6.8101e-03
142	6.0665e-02	5.3924e-02	6.7410e-03
143	6.0326e-02	5.3653e-02	6.6728e-03
144	5.9991e-02	5.3385e-02	6.6053e-03
145	5.9659e-02	5.3120e-02	6.5386e-03
146	5.9330e-02	5.2857e-02	6.4724e-03
147	5.9004e-02	5.2597e-02	6.4066e-03
148	5.8681e-02	5.2340e-02	6.3411e-03
149	5.8362e-02	5.2086e-02	6.2758e-03
150	5.8046e-02	5.1835e-02	6.2106e-03
151	5.7733e-02	5.1588e-02	6.1453e-03
152	5.7424e-02	5.1344e-02	6.0800e-03
153	5.7117e-02	5.1103e-02	6.0146e-03
154	5.6814e-02	5.0865e-02	5.9491e-03
155	5.6514e-02	5.0631e-02	5.8834e-03
156	5.6217e-02	5.0400e-02	5.8177e-03
157	5.5924e-02	5.0172e-02	5.7518e-03
158	5.5634e-02	4.9948e-02	5.6860e-03
159	5.5347e-02	4.9726e-02	5.6201e-03
160	5.5063e-02	4.9508e-02	5.5545e-03
161	5.4782e-02	4.9293e-02	5.4890e-03
162	5.4505e-02	4.9081e-02	5.4240e-03
163	5.4231e-02	4.8872e-02	5.3593e-03
164	5.3960e-02	4.8665e-02	5.2951e-03
165	5.3692e-02	4.8461e-02	5.2316e-03
166	5.3428e-02	4.8259e-02	5.1687e-03
167	5.3167e-02	4.8060e-02	5.1066e-03
168	5.2909e-02	4.7863e-02	5.0454e-03
169	5.2654e-02	4.7669e-02	4.9850e-03
170	5.2402e-02	4.7477e-02	4.9256e-03
171	5.2154e-02	4.7287e-02	4.8671e-03
172	5.1908e-02	4.7099e-02	4.8096e-03
173	5.1666e-02	4.6913e-02	4.7531e-03
174	5.1427e-02	4.6730e-02	4.6976e-03
175	5.1191e-02	4.6548e-02	4.6431e-03
176	5.0959e-02	4.6369e-02	4.5896e-03
177	5.0729e-02	4.6192e-02	4.5371e-03
178	5.0502e-02	4.6017e-02	4.4856e-03
179	5.0279e-02	4.5844e-02	4.4351e-03
180	5.0058e-02	4.5673e-02	4.3856e-03
181	4.9841e-02	4.5504e-02	4.3370e-03
182	4.9626e-02	4.5337e-02	4.2893e-03
183	4.9415e-02	4.5172e-02	4.2427e-03
184	4.9206e-02	4.5009e-02	4.1969e-03
185	4.9001e-02	4.4849e-02	4.1520e-03
186	4.8798e-02	4.4690e-02	4.1080e-03
187	4.8598e-02	4.4533e-02	4.0649e-03
188	4.8401e-02	4.4379e-02	4.0226e-03
189	4.8207e-02	4.4226e-02	3.9812e-03
190	4.8016e-02	4.4076e-02	3.9405e-03
191	4.7828e-02	4.3927e-02	3.9005e-03
192	4.7642e-02	4.3781e-02	3.8612e-03
193	4.7459e-02	4.3637e-02	3.8227e-03
194	4.7279e-02	4.3495e-02	3.7848e-03
195	4.7102e-02	4.3355e-02	3.7475e-03
196	4.6927e-02	4.3217e-02	3.7107e-03
197	4.6755e-02	4.3081e-02	3.6746e-03
198	4.6586e-02	4.2947e-02	3.6390e-03
199	4.6419e-02	4.2815e-02	3.6039e-03
200	4.6255e-02	4.2686e-02	3.5693e-03
201	4.6093e-02	4.2558e-02	3.5352e-03
202	4.5934e-02	4.2432e-02	3.5016e-03
203	4.5777e-02	4.2309e-02	3.4685e-03
204	4.5623e-02	4.2187e-02	3.4358e-03
205	4.5471e-02	4.2067e-02	3.4036e-03
206	4.5322e-02	4.1950e-02	3.3719e-03
207	4.5175e-02	4.1834e-02	3.3406e-03
208	4.5030e-02	4.1720e-02	3.3098e-03
209	4.4887e-02	4.1608e-02	3.2794e-03
210	4.4747e-02	4.1498e-02	3.2495e-03
211	4.4609e-02	4.1389e-02	3.2200e-03
212	4.4473e-02	4.1282e-02	3.1910e-03
213	4.4340e-02	4.1177e-02	3.1624e-03
214	4.4208e-02	4.1074e-02	3.1342e-03
215	4.4079e-02	4.0972e-02	3.1065e-03
216	4.3952e-02	4.0872e-02	3.0792e-03
217	4.3826e-02	4.0774e-02	3.0524e-03
218	4.3703e-02	4.0677e-02	3.0260e-03
219	4.3582e-02	4.0582e-02	3.0000e-03
220	4.3463e-02	4.0488e-02	2.9744e-03
221	4.3345e-02	4.0396e-02	2.9493e-03
222	4.3230e-02	4.0305e-02	2.9246e-03
223	4.3116e-02	4.0216e-02	2.9003e-03
224	4.3005e-02	4.0128e-02	2.8764e-03
225	4.2895e-02	4.0042e-02	2.8530e-03
226	4.2787e-02	3.9957e-02	2.8299e-03
227	4.2680e-02	3.9873e-02	2.8073e-03
228	4.2576e-02	3.9791e-02	2.7850e-03
229	4.2473e-02	3.9709e-02	2.7632e-03
230	4.2371e-02	3.9630e-02	2.7417e-03
231	4.2271e-02	3.9551e-02	2.7206e-03
232	4.2173e-02	3.9473e-02	2.6999e-03
233	4.2077e-02	3.9397e-02	2.6795e-03
234	4.1982e-02	3.9322e-02	2.6595e-03
235	4.1888e-02	3.9249e-02	2.6398e-03
236	4.1796e-02	3.9176e-02	2.6205e-03
237	4.1706e-02	3.9104e-02	2.6014e-03
238	4.1617e-02	3.9034e-02	2.5828e-03
239	4.1529e-02	3.8965e-02	2.5644e-03
240	4.1443e-02	3.8896e-02	2.5463e-03
241	4.1358e-02	3.8829e-02	2.5285e-03
242	4.1274e-02	3.8763e-02	2.5111e-03
243	4.1192e-02	3.8698e-02	2.4939e-03
244	4.1111e-02	3.8634e-02	2.4770e-03
245	4.1031e-02	3.8571e-02	2.4604e-03
246	4.0952e-02	3.8508e-02	2.4440e-03
247	4.0875e-02	3.8447e-02	2.4279e-03
248	4.0799e-02	3.8387e-02	2.4121e-03
249	4.0724e-02	3.8327e-02	2.3965e-03
250	4.0650e-02	3.8269e-02	2.3812e-03
251	4.0577e-02	3.8211e-02	2.3661e-03
252	4.0506e-02	3.8154e-02	2.3512e-03
253	4.0435e-02	3.8098e-02	2.3367e-03
254	4.0365e-02	3.8043e-02	2.3223e-03
255	4.0297e-02	3.7989e-02	2.3082e-03
256	4.0229e-02	3.7935e-02	2.2942e-03
257	4.0163e-02	3.7882e-02	2.2805e-03
258	4.0097e-02	3.7830e-02	2.2671e-03
259	4.0033e-02	3.7779e-02	2.2538e-03
260	3.9969e-02	3.7728e-02	2.2408e-03
261	3.9906e-02	3.7678e-02	2.2280e-03
262	3.9844e-02	3.7629e-02	2.2154e-03
263	3.9783e-02	3.7580e-02	2.2030e-03
264	3.9723e-02	3.7532e-02	2.1908e-03
265	3.9664e-02	3.7485e-02	2.1788e-03
266	3.9605e-02	3.7438e-02	2.1669e-03
267	3.9547e-02	3.7392e-02	2.1553e-03
268	3.9491e-02	3.7347e-02	2.1439e-03
269	3.9434e-02	3.7302e-02	2.1327e-03
270	3.9379e-02	3.7257e-02	2.1216e-03
271	3.9324e-02	3.7213e-02	2.1108e-03
272	3.9270e-02	3.7170e-02	2.1001e-03
273	3.9217e-02	3.7127e-02	2.0896e-03
274	3.9164e-02	3.7085e-02	2.0792e-03
275	3.9112e-02	3.7043e-02	2.0691e-03
276	3.9061e-02	3.7002e-02	2.0591e-03
277	3.9011e-02	3.6961e-02	2.0492e-03
278	3.8961e-02	3.6921e-02	2.0395e-03
279	3.8911e-02	3.6881e-02	2.0300e-03
280	3.8862e-02	3.6842e-02	2.0207e-03
281	3.8814e-02	3.6803e-02	2.0115e-03
282	3.8767e-02	3.6764e-02	2.0024e-03
283	3.8720e-02	3.6726e-02	1.9935e-03
284	3.8673e-02	3.6688e-02	1.9847e-03
285	3.8627e-02	3.6651e-02	1.9761e-03
286	3.8582e-02	3.6614e-02	1.9676e-03
287	3.8537e-02	3.6578e-02	1.9592e-03
288	3.8493e-02	3.6542e-02	1.9510e-03
289	3.8449e-02	3.6506e-02	1.9429e-03
290	3.8405e-02	3.6470e-02	1.9349e-03
291	3.8362e-02	3.6435e-02	1.9271e-03
292	3.8320e-02	3.6400e-02	1.9193e-03
293	3.8278e-02	3.6366e-02	1.9117e-03
294	3.8236e-02	3.6332e-02	1.9043e-03
295	3.8195e-02	3.6298e-02	1.8969e-03
296	3.8154e-02	3.6265e-02	1.8896e-03
297	3.8114e-02	3.6231e-02	1.8825e-03
298	3.8074e-02	3.6199e-02	1.8755e-03
299	3.8035e-02	3.6166e-02	1.8686e-03
300	3.7995e-02	3.6134e-02	1.8618e-03
301	3.7957e-02	3.6102e-02	1.8551e-03
302	3.7918e-02	3.6070e-02	1.8485e-03
