0.02	0.5	0.8732
0.02	0.6	0.8204
0.02	0.7	0.7595
0.02	0.8	0.6912
0.02	0.9	0.6161
0.02	1.0	0.5350
0.02	1.1	0.4487
0.02	1.2	0.3581
0.02	1.3	0.2641
0.02	1.4	0.1677
0.02	1.5	0.0698
0.02	1.6	-0.0287
0.02	1.7	-0.1266
0.02	1.8	-0.2231
0.02	1.9	-0.3171
0.02	2.0	-0.4078
0.02	2.1	-0.4943
0.02	2.2	-0.5756
0.02	2.3	-0.6510
0.02	2.4	-0.7198
0.02	2.5	-0.7813
0.02	2.6	-0.8348
0.02	2.7	-0.8799
0.02	2.8	-0.9162
0.02	2.9	-0.9432
0.02	3.0	-0.9607
0.02	3.1	-0.9686
0.02	3.2	-0.9669
0.02	3.3	-0.9554
0.02	3.4	-0.9345
0.02	3.5	-0.9043
0.02	3.6	-0.8651
0.02	3.7	-0.8174
0.02	3.8	-0.7616
0.02	3.9	-0.6983
0.02	4.0	-0.6282
0.02	4.1	-0.5519
0.02	4.2	-0.4703
0.02	4.3	-0.3841
0.02	4.4	-0.2943
0.02	4.5	-0.2017
0.02	4.6	-0.1073
0.02	4.7	-0.0120
0.02	4.8	0.0832
0.02	4.9	0.1774
0.02	5.0	0.2696
0.02	5.1	0.3590
0.02	5.2	0.4446
0.02	5.3	0.5255
0.02	5.4	0.6011
0.02	5.5	0.6706
0.02	5.6	0.7332
0.02	5.7	0.7883
0.02	5.8	0.8355
0.02	5.9	0.8742
0.02	6.0	0.9042
0.02	6.1	0.9250
0.02	6.2	0.9366
0.02	6.3	0.9388
0.02	6.4	0.9316
0.02	6.5	0.9152
0.02	6.6	0.8896
0.02	6.7	0.8553
0.02	6.8	0.8124
0.02	6.9	0.7615
0.02	7.0	0.7031
0.02	7.1	0.6379
0.02	7.2	0.5664
0.02	7.3	0.4893
0.02	7.4	0.4076
0.02	7.5	0.3219
0.02	7.6	0.2332
0.02	7.7	0.1424
0.02	7.8	0.0503
0.02	7.9	-0.0421
0.02	8.0	-0.1339
0.02	8.1	-0.2242
0.02	8.2	-0.3121
0.02	8.3	-0.3967
0.02	8.4	-0.4771
0.02	8.5	-0.5526
0.02	8.6	-0.6225
0.02	8.7	-0.6860
0.02	8.8	-0.7425
0.02	8.9	-0.7915
0.02	9.0	-0.8325
0.02	9.1	-0.8652
0.02	9.2	-0.8891
0.02	9.3	-0.9041
0.02	9.4	-0.9100
0.02	9.5	-0.9068
0.02	9.6	-0.8946
0.02	9.7	-0.8735
0.02	9.8	-0.8437
0.02	9.9	-0.8056
0.02	10.0	-0.7595
0.03	0.0	1.0000
0.03	0.1	0.9935
0.03	0.2	0.9771
0.03	0.3	0.9511
0.03	0.4	0.9156
0.03	0.5	0.8711
0.03	0.6	0.8180
0.03	0.7	0.7569
0.03	0.8	0.6885
0.03	0.9	0.6134
0.03	1.0	0.5324
0.03	1.1	0.4463
0.03	1.2	0.3560
0.03	1.3	0.2625
0.03	1.4	0.1666
0.03	1.5	0.0693
0.03	1.6	-0.0283
0.03	1.7	-0.1254
0.03	1.8	-0.2210
0.03	1.9	-0.3140
0.03	2.0	-0.4036
0.03	2.1	-0.4890
0.03	2.2	-0.5692
0.03	2.3	-0.6435
0.03	2.4	-0.7111
0.03	2.5	-0.7715
0.03	2.6	-0.8240
0.03	2.7	-0.8681
0.03	2.8	-0.9034
0.03	2.9	-0.9296
0.03	3.0	-0.9464
0.03	3.1	-0.9537
0.03	3.2	-0.9515
0.03	3.3	-0.9398
0.03	3.4	-0.9188
0.03	3.5	-0.8887
0.03	3.6	-0.8498
0.03	3.7	-0.8025
0.03	3.8	-0.7474
0.03	3.9	-0.6850
0.03	4.0	-0.6159
0.03	4.1	-0.5409
0.03	4.2	-0.4607
0.03	4.3	-0.3762
0.03	4.4	-0.2881
0.03	4.5	-0.1975
0.03	4.6	-0.1052
0.03	4.7	-0.0120
0.03	4.8	0.0809
0.03	4.9	0.1728
0.03	5.0	0.2627
0.03	5.1	0.3496
0.03	5.2	0.4329
0.03	5.3	0.5115
0.03	5.4	0.5849
0.03	5.5	0.6521
0.03	5.6	0.7127
0.03	5.7	0.7660
0.03	5.8	0.8115
0.03	5.9	0.8487
0.03	6.0	0.8774
0.03	6.1	0.8972
0.03	6.2	0.9080
0.03	6.3	0.9097
0.03	6.4	0.9023
0.03	6.5	0.8860
0.03	6.6	0.8609
0.03	6.7	0.8272
0.03	6.8	0.7854
0.03	6.9	0.7359
0.03	7.0	0.6792
0.03	7.1	0.6159
