0.0	1.0000
0.1	0.9901
0.2	0.9704
0.3	0.9412
0.4	0.9030
0.5	0.8562
0.6	0.8014
0.7	0.7391
0.8	0.6701
0.9	0.5951
1.0	0.5150
1.1	0.4305
1.2	0.3426
1.3	0.2521
1.4	0.1601
1.5	0.0674
1.6	-0.0251
1.7	-0.1164
1.8	-0.2056
1.9	-0.2919
2.0	-0.3745
2.1	-0.4525
2.2	-0.5252
2.3	-0.5920
2.4	-0.6522
2.5	-0.7054
2.6	-0.7510
2.7	-0.7886
2.8	-0.8181
2.9	-0.8391
3.0	-0.8516
3.1	-0.8555
3.2	-0.8509
3.3	-0.8378
3.4	-0.8166
3.5	-0.7874
3.6	-0.7507
3.7	-0.7069
3.8	-0.6565
3.9	-0.6001
4.0	-0.5383
4.1	-0.4717
4.2	-0.4011
4.3	-0.3272
4.4	-0.2508
4.5	-0.1727
4.6	-0.0937
4.7	-0.0144
4.8	0.0641
4.9	0.1413
5.0	0.2162
5.1	0.2883
5.2	0.3568
5.3	0.4211
5.4	0.4805
5.5	0.5346
5.6	0.5828
5.7	0.6247
5.8	0.6601
5.9	0.6885
6.0	0.7097
6.1	0.7237
6.2	0.7304
6.3	0.7298
6.4	0.7219
6.5	0.7069
6.6	0.6850
6.7	0.6565
6.8	0.6218
6.9	0.5812
7.0	0.5353
7.1	0.4845
7.2	0.4294
7.3	0.3706
7.4	0.3087
7.5	0.2443
7.6	0.1781
7.7	0.1108
7.8	0.0431
7.9	-0.0243
8.0	-0.0909
8.1	-0.1559
8.2	-0.2187
8.3	-0.2787
8.4	-0.3353
8.5	-0.3880
8.6	-0.4363
8.7	-0.4799
8.8	-0.5182
8.9	-0.5510
9.0	-0.5780
9.1	-0.5989
9.2	-0.6137
9.3	-0.6223
9.4	-0.6246
9.5	-0.6206
9.6	-0.6106
9.7	-0.5945
9.8	-0.5727
9.9	-0.5454
10.0	-0.5130
